"id","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107"
"41",0,0,0,0,0,0,0,0,0,0,0,0,0,7210,0,1265,0,0,7210,0,0,0,0,2065,0,0,0,0,0,0,0,0,0,221,0,0,0,3176,1180,7210,0,7210,7108,7210,3325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2913,0,0,4996,0,0,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",0,0,0,0,0,0,0,0,0,0,0,0,0,3565,0,1233,0,0,7210,0,0,0,0,1989,0,0,0,0,0,0,0,0,0,166,0,0,0,3001,7210,7210,7210,0,7210,7210,2512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1727,0,0,2765,0,0,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",0,0,0,0,0,0,0,0,0,0,0,7210,0,0,0,4790,0,0,0,0,0,0,0,116,0,0,0,0,7210,0,0,0,0,0,0,0,0,6304,7210,0,7210,7210,0,7210,6449,7210,7210,6594,5043,7197,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",0,0,0,0,0,0,0,0,0,0,0,7210,0,0,0,3421,0,0,0,0,0,0,0,0,0,0,0,0,4966,0,0,0,0,0,0,0,0,6218,7210,0,7210,7210,7210,0,6645,7210,6005,2474,5164,7152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",0,725,0,0,0,0,0,1668,5634,0,0,5885,415,0,0,6379,0,0,2637,0,0,0,0,994,0,506,0,0,6104,4728,0,0,0,0,0,0,0,4814,6019,232,5879,2233,5929,5279,0,5409,2208,2685,99,1993,595,0,569,212,0,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2983,0,0,0,0,0,599,159,577,14,0,0,0,0,0,0,454,0,0,0,0,0,0,0,0,0,0,0,0,0,941
"46",0,0,0,0,0,0,0,0,0,0,0,7210,0,0,0,816,0,0,0,0,0,0,0,0,0,0,0,0,553,0,0,0,0,0,0,0,0,4111,6613,0,0,4607,7210,7210,4279,0,7210,7210,7210,7210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",0,0,0,0,0,0,0,0,0,0,0,7210,171,0,0,1083,0,0,0,0,0,0,0,0,0,0,0,0,597,0,0,0,0,0,0,0,0,3527,4758,0,0,4811,6761,5361,2964,7210,0,7210,7210,6809,1071,641,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48",0,0,0,0,0,0,0,0,0,0,0,7210,0,0,0,2925,0,0,0,0,0,0,0,0,0,0,0,0,7210,0,0,0,0,0,0,0,0,5678,6940,0,0,2172,6594,2474,6624,7210,7210,0,7210,7210,3477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",0,0,0,0,0,0,0,13,0,0,0,5958,7210,0,7127,0,0,0,0,0,0,0,0,0,0,0,0,0,7210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6952,7210,0,7210,7210,7210,7210,7210,7210,606,7210,7210,7210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545
"50",0,0,0,0,0,0,0,2143,1555,0,0,7210,7210,0,0,5344,0,0,0,0,0,0,0,0,0,0,0,0,7210,0,0,0,0,0,0,0,0,4069,0,0,0,0,3757,134,6043,7210,7210,7210,7210,0,7210,7210,7210,7210,6307,871,7210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3178,0,1737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3393
"51",0,0,0,0,0,0,0,2677,1369,0,0,7210,7210,0,0,4571,0,0,0,0,0,0,0,0,0,0,0,0,7210,0,0,0,0,0,0,0,0,3941,0,0,0,0,0,0,3892,7210,7210,7210,7210,7210,0,7210,3641,7210,7210,876,7210,0,5480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7208,305,3135,0,0,0,0,0,4477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5548
"52",0,0,0,0,0,0,0,0,0,0,0,0,7210,0,7210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7210,4089,7210,0,7210,7210,7210,0,7210,7210,7210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7210,7210,0,0,0,0,7210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,669
